Year,January,February,March,April,May,June,July,August,September,October,November,December
2011,3.30,3.37,3.16,2.97,2.59,3.46,3.71,3.45,3.19,2.94,2.88,2.58
2012,2.56,2.23,1.55,1.72,2.01,2.19,3.37,2.93,2.61,2.24,2.66,2.55
2013,3.16,2.93,2.93,2.83,2.54,2.38,3.16,2.38,2.23,2.24,1.61,3.13
2014,6.54,8.18,8.04,3.33,1.79,2.98,2.37,2.21,1.55,0.71,1.65,2.24
2015,2.96,5.12,2.56,1.65,1.54,1.53,2.22,2.34,3.19,2.51,1.03,1.1
2016,1.37,1.26,0.59,0.61,1.34,2.02,2.34,3.29,1.75,1.24,1.61,2.09
2017,2.16,2.11,2.60,1.11,0.32,0.59,1.36,1.73,2.31,0.88,1.40,2.06
2018,3.21,1.90,1.72,2.97,1.31,1.83,3.04,3.06,2.99,1.38,2.51,2.79
2019,2.78,2.79,2.73,1.56,0.76,0.48,2.19,1.61,1.43,0.73,2.07,2.19
2020,1.48,1.45,1.39,0.61,0.83,1.25,2.05,1.94,1.44,1.13,1.05,1.6
